brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,X,Y
27529,0495m665,7926,PSF,49.41558848176794,-66.53482327443614,0.10210182,1.1629952,3.0194104,4.2587433,6.0269585,1.4449216,1.3190391,1.1850618,1.2737088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.336056,21.300194,20.926796,20.549755,19.265385,19.24457,17.859074,,1.035862,0.37339783,0.7504387,0.37704086,1743.932303089696,412.4635669985726
27529,0495m665,17432,PSF,49.57432125001245,-66.47072394723148,0.11080201,4.180064,4.609987,4.2715077,4.585457,1.4468659,1.3410187,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.947042,20.840752,20.923548,20.846544,,,17.317202,13.601025,0.10629082,-0.0827961,-0.005792618,0.07700348,874.6237011923965,1293.503901827802
27529,0495m665,24333,PSF,49.69778764493716,-66.4321579425204,0.11396297,0.33479467,1.3040347,4.271926,7.388207,1.411639,1.370692,1.1457978,1.2495431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.688053,22.211777,20.92344,20.328651,20.299109,20.519201,,,1.4762764,1.2883358,1.8831253,0.5947895,195.81222679413577,1822.1111218141998
27529,0495m665,18881,PSF,49.60210793455576,-66.54627841253652,0.10206039,0.030295797,1.9627596,4.27579,5.5670004,1.4088466,1.2393738,1.1373346,1.1720815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.296543,21.767832,20.922459,20.635946,18.680338,19.12576,16.99668,13.315974,4.5287113,0.84537315,1.1318855,0.28651237,723.6399455209357,255.17436027164422
27529,0495m665,17244,PSF,49.57060288485474,-66.4811667032085,0.11012895,3.8406103,3.995461,4.276538,4.674488,1.4253722,1.3198797,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.039,20.996082,20.92227,20.825665,18.221489,18.443367,15.780736,12.509898,0.04291725,0.073812485,0.17041779,0.0966053,895.1469636995653,1150.0342439463257
27529,0495m665,16413,PSF,49.55553717681578,-66.47247365044035,0.11079741,1.9628466,3.4588113,4.2771072,5.2200637,1.4468659,1.3410187,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.767784,21.152683,20.922125,20.70581,19.578184,19.702547,17.264425,15.153183,0.61510086,0.2305584,0.4468727,0.21631432,977.6778490555218,1269.5435850897757
27529,0495m665,18015,PSF,49.58592109202414,-66.45007537235094,0.11205679,0.6906944,2.125358,4.2806277,6.0985117,1.5509859,1.5028523,1.2238069,1.2643085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.901785,21.68142,20.921232,20.53694,21.077112,22.931248,,14.242584,1.2203655,0.76018715,1.1444798,0.3842926,810.6740204427452,1577.1590326837556
27529,0495m665,19455,PSF,49.61211792774584,-66.47238939655048,0.11054122,4.829297,5.506022,4.286103,3.7145808,1.4468659,1.3410187,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.79029,20.647905,20.919844,21.075226,,,,12.904901,0.14238548,-0.27193832,-0.42732048,-0.15538216,667.3280116094984,1270.3622132013697
27529,0495m665,14246,PSF,49.51676503218179,-66.53887126902936,0.10425406,0.5823554,2.2698467,4.289773,6.3784432,1.4086589,1.2567562,1.1492771,1.2806392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08703,21.610008,20.918915,20.488213,19.05044,19.816427,16.906496,12.948431,1.4770222,0.69109344,1.1217957,0.4307022,1190.3625949019533,357.27987438505863
27529,0495m665,18529,PSF,49.59606113879423,-66.47311553277005,0.11052202,4.629078,4.6180234,4.293276,4.5784464,1.4468659,1.3410187,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.836264,20.83886,20.918028,20.848206,20.972769,,18.792532,,-0.0025959015,-0.07916832,-0.009346008,0.06982231,755.413378584942,1260.5095499312902
